date	close
22-Apr-20	76.414 
21-Apr-20	76.970 
20-Apr-20	76.593 
19-Apr-20	76.554 
18-Apr-20	76.498 
17-Apr-20	76.497 
16-Apr-20	76.851 
15-Apr-20	76.498 
14-Apr-20	75.949 
13-Apr-20	76.243 
12-Apr-20	76.163 
11-Apr-20	76.177 
10-Apr-20	76.177 
9-Apr-20	75.912 
8-Apr-20	75.957 
7-Apr-20	75.676 
6-Apr-20	76.016 
5-Apr-20	76.465 
4-Apr-20	76.420 
3-Apr-20	76.420 
2-Apr-20	76.165 
1-Apr-20	76.575 
31-Mar-20	75.368 
30-Mar-20	75.472 
29-Mar-20	75.392 
28-Mar-20	74.876 
27-Mar-20	74.876 
26-Mar-20	74.689 
25-Mar-20	75.710 
24-Mar-20	75.954 
23-Mar-20	76.559 
22-Mar-20	75.678 
21-Mar-20	75.623 
20-Mar-20	75.720 
19-Mar-20	75.203 
18-Mar-20	74.938 
17-Mar-20	74.005 
16-Mar-20	74.328 
15-Mar-20	74.016 
14-Mar-20	73.887 
13-Mar-20	73.886 
12-Mar-20	74.438 
11-Mar-20	74.181 
10-Mar-20	73.569 
9-Mar-20	74.473 
8-Mar-20	74.003 
7-Mar-20	74.000 
6-Mar-20	73.994 
5-Mar-20	73.863 
4-Mar-20	73.487 
3-Mar-20	73.451 
2-Mar-20	72.419 
1-Mar-20	72.172 
29-Feb-20	72.172 
28-Feb-20	72.172 
27-Feb-20	71.696 
26-Feb-20	71.671 
25-Feb-20	71.880 
24-Feb-20	72.049 
23-Feb-20	71.885 
22-Feb-20	71.887 
21-Feb-20	71.887 
20-Feb-20	71.882 
19-Feb-20	71.624 
18-Feb-20	71.583 
17-Feb-20	71.359 
16-Feb-20	71.525 
15-Feb-20	71.527 
14-Feb-20	71.527 
13-Feb-20	71.276 
12-Feb-20	71.303 
11-Feb-20	71.285 
10-Feb-20	71.299 
9-Feb-20	71.514 
8-Feb-20	71.516 
7-Feb-20	71.516 
6-Feb-20	71.301 
5-Feb-20	71.189 
4-Feb-20	71.112 
3-Feb-20	71.322 
2-Feb-20	71.497 
1-Feb-20	71.497 
31-Jan-20	71.497 
30-Jan-20	71.569 
29-Jan-20	71.310 
28-Jan-20	71.240 
27-Jan-20	71.451 
26-Jan-20	71.329 
25-Jan-20	71.326 
24-Jan-20	71.326 
23-Jan-20	71.331 
22-Jan-20	71.110 
21-Jan-20	71.243 
20-Jan-20	71.038 
19-Jan-20	71.051 
18-Jan-20	71.041 
17-Jan-20	71.041 
16-Jan-20	70.954 
15-Jan-20	70.725 
14-Jan-20	70.854 
13-Jan-20	70.727 
12-Jan-20	70.961 
11-Jan-20	70.958 
10-Jan-20	70.991 
9-Jan-20	71.196 
8-Jan-20	71.444 
7-Jan-20	71.966 
6-Jan-20	71.797 
5-Jan-20	71.761 
4-Jan-20	71.758 
3-Jan-20	71.758 
2-Jan-20	71.352 
1-Jan-20	71.321  
